Commit Log for Tue Jan  2 21:42:43 2018


Seuraavat paketit päivitettiin:
libsmartcols1 (2.27.1-6ubuntu3.2) to 2.27.1-6ubuntu3.3
libsmbclient (2:4.3.11+dfsg-0ubuntu0.16.04.7) to 2:4.3.11+dfsg-0ubuntu0.16.04.12
libsndfile1 (1.0.25-10) to 1.0.25-10ubuntu0.16.04.1
libsoup-gnome2.4-1 (2.52.2-1ubuntu0.1) to 2.52.2-1ubuntu0.2
libsoup2.4-1 (2.52.2-1ubuntu0.1) to 2.52.2-1ubuntu0.2
libssl1.0.0 (1.0.2g-1ubuntu4.6) to 1.0.2g-1ubuntu4.10
libstdc++6 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libtasn1-6 (4.7-3ubuntu0.16.04.1) to 4.7-3ubuntu0.16.04.2
libtiff5 (4.0.6-1ubuntu0.1) to 4.0.6-1ubuntu0.2
libtsan0 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libubsan0 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
libuuid1 (2.27.1-6ubuntu3.2) to 2.27.1-6ubuntu3.3
libwacom-common (0.18-1) to 0.22-1~ubuntu16.04.1
libwacom2 (0.18-1) to 0.22-1~ubuntu16.04.1
libwayland-client0 (1.9.0-1) to 1.12.0-1~ubuntu16.04.2
libwayland-cursor0 (1.9.0-1) to 1.12.0-1~ubuntu16.04.2
libwayland-server0 (1.9.0-1) to 1.12.0-1~ubuntu16.04.2
libwbclient0 (2:4.3.11+dfsg-0ubuntu0.16.04.7) to 2:4.3.11+dfsg-0ubuntu0.16.04.12
libwebkit2gtk-4.0-37 (2.16.2-0ubuntu0.16.04.1) to 2.18.3-0ubuntu0.16.04.1
libwind0-heimdal (1.7~git20150920+dfsg-4ubuntu1) to 1.7~git20150920+dfsg-4ubuntu1.16.04.1
libwinpr-crt0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-dsparse0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-environment0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-file0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-handle0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-heap0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-input0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-interlocked0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-library0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-path0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-pool0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-registry0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-rpc0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-sspi0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-synch0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-sysinfo0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-thread0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libwinpr-utils0.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libxcursor1 (1:1.1.14-1) to 1:1.1.14-1ubuntu0.16.04.1
libxfont1 (1:1.5.1-1) to 1:1.5.1-1ubuntu0.16.04.4
libxfreerdp-client1.1 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
libxml2 (2.9.3+dfsg1-1ubuntu0.2) to 2.9.3+dfsg1-1ubuntu0.5
lintian (2.5.43) to 2.5.43ubuntu0.1
linux-firmware (1.157.10) to 1.157.14
linux-libc-dev (4.4.0-78.99) to 4.4.0-104.127
locales (2.23-0ubuntu7) to 2.23-0ubuntu9
logrotate (3.8.7-2ubuntu2.16.04.1) to 3.8.7-2ubuntu2.16.04.2
lshw (02.17-1.1ubuntu3.2) to 02.17-1.1ubuntu3.4
mint-y-theme (1.2.0) to 1.2.1
module-init-tools (22-1ubuntu4) to 22-1ubuntu5
mount (2.27.1-6ubuntu3.2) to 2.27.1-6ubuntu3.3
